Genome	Species	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
SAMEA114309588	parasanguinis	tetB(46)	92.58	1711/1737	98.38802533103052	1..1710	SAMEA114309588.contig00004 len=184596 cov=41.0 corr=0 origname=NODE_4_length_184596_cov_41.040903_pilon sw=shovill-spades/1.1.0 date=20240708	145210..146919	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114313405	parasanguinis	tetA(46)	94.78	1725/1725	100.0	1..1725	SAMEA114313405.contig00011 len=84270 cov=29.4 corr=0 origname=NODE_11_length_84270_cov_29.417721_pilon sw=shovill-spades/1.1.0 date=20240629	37175..38899	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114313405	parasanguinis	tetB(46)	92.76	1712/1737	98.33045480713875	1..1710	SAMEA114313405.contig00011 len=84270 cov=29.4 corr=0 origname=NODE_11_length_84270_cov_29.417721_pilon sw=shovill-spades/1.1.0 date=20240629	35464..37173	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114631783	parasanguinis	tetA(46)	94.78	1725/1725	100.0	1..1725	SAMEA114631783.contig00002 len=202986 cov=48.1 corr=0 origname=NODE_2_length_202986_cov_48.131376_pilon sw=shovill-spades/1.1.0 date=20250206	14002..15726	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA114631783	parasanguinis	tetB(46)	92.23	1711/1737	98.38802533103052	1..1710	SAMEA114631783.contig00002 len=202986 cov=48.1 corr=0 origname=NODE_2_length_202986_cov_48.131376_pilon sw=shovill-spades/1.1.0 date=20250206	12291..14000	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA115092497	parasanguinis	tetA(46)	94.78	1725/1725	100.0	1..1725	SAMEA115092497.contig00011 len=84270 cov=39.5 corr=0 origname=NODE_11_length_84270_cov_39.470609_pilon sw=shovill-spades/1.1.0 date=20240709	37175..38899	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA115092497	parasanguinis	tetB(46)	92.76	1712/1737	98.33045480713875	1..1710	SAMEA115092497.contig00011 len=84270 cov=39.5 corr=0 origname=NODE_11_length_84270_cov_39.470609_pilon sw=shovill-spades/1.1.0 date=20240709	35464..37173	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA115092759	parasanguinis	lsa(C)	94.46	1479/1479	100.0	1..1479	SAMEA115092759.contig00001 len=534851 cov=24.2 corr=0 origname=NODE_1_length_534851_cov_24.237852_pilon sw=shovill-spades/1.1.0 date=20240629	415495..416973	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
SAMEA115092759	parasanguinis	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMEA115092759.contig00004 len=184893 cov=27.1 corr=0 origname=NODE_4_length_184893_cov_27.119747_pilon sw=shovill-spades/1.1.0 date=20240629	36249..37973	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA115092759	parasanguinis	tetB(46)	92.58	1711/1737	98.38802533103052	1..1710	SAMEA115092759.contig00004 len=184893 cov=27.1 corr=0 origname=NODE_4_length_184893_cov_27.119747_pilon sw=shovill-spades/1.1.0 date=20240629	37975..39684	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA2342815	parasanguinis	tetA(46)	95.13	1725/1725	100.0	1..1725	SAMEA2342815.contig00029 len=28377 cov=33.2 corr=0 origname=NODE_29_length_28377_cov_33.212504_pilon sw=shovill-spades/1.0.4 date=20190109	7961..9685	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA2342815	parasanguinis	tetB(46)	92.23	1712/1737	98.33045480713875	1..1710	SAMEA2342815.contig00029 len=28377 cov=33.2 corr=0 origname=NODE_29_length_28377_cov_33.212504_pilon sw=shovill-spades/1.0.4 date=20190109	9687..11396	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA2393084	parasanguinis	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMEA2393084.contig00004 len=126706 cov=48.4 corr=0 origname=NODE_4_length_126706_cov_48.397389_pilon sw=shovill-spades/1.1.0 date=20230703	7158..8882	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA2393084	parasanguinis	tetB(46)	92.41	1712/1737	98.33045480713875	1..1710	SAMEA2393084.contig00004 len=126706 cov=48.4 corr=0 origname=NODE_4_length_126706_cov_48.397389_pilon sw=shovill-spades/1.1.0 date=20230703	8884..10593	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA2674797	parasanguinis	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMEA2674797.contig00027 len=19734 cov=31.7 corr=0 origname=NODE_27_length_19734_cov_31.685158_pilon sw=shovill-spades/1.0.4 date=20190113	7962..9686	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA2674797	parasanguinis	tetB(46)	92.17	1712/1737	98.33045480713875	1..1710	SAMEA2674797.contig00027 len=19734 cov=31.7 corr=0 origname=NODE_27_length_19734_cov_31.685158_pilon sw=shovill-spades/1.0.4 date=20190113	9688..11397	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA3882095	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA3882095.contig00009 len=80160 cov=38.3 corr=0 origname=NODE_9_length_80160_cov_38.292304_pilon sw=shovill-spades/1.0.4 date=20190216	64492..66216	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA3882095	parasanguinis	tetB(46)	92.93	1711/1737	98.38802533103052	1..1710	SAMEA3882095.contig00009 len=80160 cov=38.3 corr=0 origname=NODE_9_length_80160_cov_38.292304_pilon sw=shovill-spades/1.0.4 date=20190216	66218..67927	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362445	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA4362445.contig00008 len=80474 cov=33.4 corr=0 origname=NODE_8_length_80474_cov_33.370035_pilon sw=shovill-spades/1.0.4 date=20190201	13643..15367	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362445	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA4362445.contig00008 len=80474 cov=33.4 corr=0 origname=NODE_8_length_80474_cov_33.370035_pilon sw=shovill-spades/1.0.4 date=20190201	11932..13641	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362453	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA4362453.contig00002 len=325377 cov=38.8 corr=0 origname=NODE_2_length_325377_cov_38.820817_pilon sw=shovill-spades/1.0.4 date=20190130	13643..15367	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362453	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA4362453.contig00002 len=325377 cov=38.8 corr=0 origname=NODE_2_length_325377_cov_38.820817_pilon sw=shovill-spades/1.0.4 date=20190130	11932..13641	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362471	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA4362471.contig00002 len=325377 cov=37.4 corr=0 origname=NODE_2_length_325377_cov_37.383642_pilon sw=shovill-spades/1.0.4 date=20190130	310011..311735	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362471	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA4362471.contig00002 len=325377 cov=37.4 corr=0 origname=NODE_2_length_325377_cov_37.383642_pilon sw=shovill-spades/1.0.4 date=20190130	311737..313446	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362475	parasanguinis	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMEA4362475.contig00007 len=79204 cov=33.9 corr=0 origname=NODE_7_length_79204_cov_33.915842_pilon sw=shovill-spades/1.0.4 date=20190206	63345..65069	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362475	parasanguinis	tetB(46)	92.58	1711/1737	98.38802533103052	1..1710	SAMEA4362475.contig00007 len=79204 cov=33.9 corr=0 origname=NODE_7_length_79204_cov_33.915842_pilon sw=shovill-spades/1.0.4 date=20190206	65071..66780	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362493	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA4362493.contig00007 len=78711 cov=32.4 corr=0 origname=NODE_7_length_78711_cov_32.380430_pilon sw=shovill-spades/1.0.4 date=20190205	63345..65069	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362493	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA4362493.contig00007 len=78711 cov=32.4 corr=0 origname=NODE_7_length_78711_cov_32.380430_pilon sw=shovill-spades/1.0.4 date=20190205	65071..66780	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362507	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA4362507.contig00002 len=287370 cov=31.8 corr=0 origname=NODE_2_length_287370_cov_31.761702_pilon sw=shovill-spades/1.0.4 date=20190205	13643..15367	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4362507	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA4362507.contig00002 len=287370 cov=31.8 corr=0 origname=NODE_2_length_287370_cov_31.761702_pilon sw=shovill-spades/1.0.4 date=20190205	11932..13641	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4555989	parasanguinis	erm(B)	100.00	738/738	100.0	1..738	SAMEA4555989.contig00006 len=127008 cov=39.3 corr=0 origname=NODE_6_length_127008_cov_39.250605_pilon sw=shovill-spades/1.0.4 date=20190217	84315..85052	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
SAMEA4555989	parasanguinis	tet(M)	99.69	1920/1920	100.0	1..1920	SAMEA4555989.contig00006 len=127008 cov=39.3 corr=0 origname=NODE_6_length_127008_cov_39.250605_pilon sw=shovill-spades/1.0.4 date=20190217	79150..81069	Doxycycline, Tetracycline, Minocycline	X75073
SAMEA4555989	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA4555989.contig00009 len=77363 cov=33.1 corr=0 origname=NODE_9_length_77363_cov_33.057929_pilon sw=shovill-spades/1.0.4 date=20190217	31686..33410	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA4555989	parasanguinis	tetB(46)	92.23	1711/1737	98.38802533103052	1..1710	SAMEA4555989.contig00009 len=77363 cov=33.1 corr=0 origname=NODE_9_length_77363_cov_33.057929_pilon sw=shovill-spades/1.0.4 date=20190217	29975..31684	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5379086	parasanguinis	tetA(46)	94.90	1725/1725	100.0	1..1725	SAMEA5379086.contig00022 len=27762 cov=36.6 corr=0 origname=NODE_22_length_27762_cov_36.613576_pilon sw=shovill-spades/1.1.0 date=20230704	12058..13782	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5379086	parasanguinis	tetB(46)	92.69	1711/1737	98.38802533103052	1..1710	SAMEA5379086.contig00022 len=27762 cov=36.6 corr=0 origname=NODE_22_length_27762_cov_36.613576_pilon sw=shovill-spades/1.1.0 date=20230704	13784..15493	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5379087	parasanguinis	tetA(46)	94.90	1725/1725	100.0	1..1725	SAMEA5379087.contig00021 len=28050 cov=36.8 corr=0 origname=NODE_21_length_28050_cov_36.799599_pilon sw=shovill-spades/1.1.0 date=20230705	13981..15705	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5379087	parasanguinis	tetB(46)	92.69	1711/1737	98.38802533103052	1..1710	SAMEA5379087.contig00021 len=28050 cov=36.8 corr=0 origname=NODE_21_length_28050_cov_36.799599_pilon sw=shovill-spades/1.1.0 date=20230705	12270..13979	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390758	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390758.contig00002 len=323250 cov=36.1 corr=0 origname=NODE_2_length_323250_cov_36.087841_pilon sw=shovill-spades/1.1.0 date=20230705	307857..309581	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390758	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390758.contig00002 len=323250 cov=36.1 corr=0 origname=NODE_2_length_323250_cov_36.087841_pilon sw=shovill-spades/1.1.0 date=20230705	309583..311292	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390759	parasanguinis	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMEA5390759.contig00008 len=79268 cov=30.5 corr=0 origname=NODE_8_length_79268_cov_30.476256_pilon sw=shovill-spades/1.1.0 date=20230705	63377..65101	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390759	parasanguinis	tetB(46)	92.58	1711/1737	98.38802533103052	1..1710	SAMEA5390759.contig00008 len=79268 cov=30.5 corr=0 origname=NODE_8_length_79268_cov_30.476256_pilon sw=shovill-spades/1.1.0 date=20230705	65103..66812	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390763	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390763.contig00002 len=389760 cov=37.6 corr=0 origname=NODE_2_length_389760_cov_37.598287_pilon sw=shovill-spades/1.1.0 date=20230705	13670..15394	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390763	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390763.contig00002 len=389760 cov=37.6 corr=0 origname=NODE_2_length_389760_cov_37.598287_pilon sw=shovill-spades/1.1.0 date=20230705	11959..13668	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390765	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390765.contig00002 len=361257 cov=36.8 corr=0 origname=NODE_2_length_361257_cov_36.763993_pilon sw=shovill-spades/1.1.0 date=20230705	13670..15394	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390765	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390765.contig00002 len=361257 cov=36.8 corr=0 origname=NODE_2_length_361257_cov_36.763993_pilon sw=shovill-spades/1.1.0 date=20230705	11959..13668	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390766	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390766.contig00002 len=361256 cov=37.8 corr=0 origname=NODE_2_length_361256_cov_37.760647_pilon sw=shovill-spades/1.1.0 date=20230705	345863..347587	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390766	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390766.contig00002 len=361256 cov=37.8 corr=0 origname=NODE_2_length_361256_cov_37.760647_pilon sw=shovill-spades/1.1.0 date=20230705	347589..349298	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390767	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390767.contig00002 len=361257 cov=37.1 corr=0 origname=NODE_2_length_361257_cov_37.088803_pilon sw=shovill-spades/1.1.0 date=20230706	345864..347588	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390767	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390767.contig00002 len=361257 cov=37.1 corr=0 origname=NODE_2_length_361257_cov_37.088803_pilon sw=shovill-spades/1.1.0 date=20230706	347590..349299	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390776	parasanguinis	tetA(46)	94.72	1725/1725	100.0	1..1725	SAMEA5390776.contig00002 len=360482 cov=37.8 corr=0 origname=NODE_2_length_360482_cov_37.824090_pilon sw=shovill-spades/1.1.0 date=20230705	14168..15892	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390776	parasanguinis	tetB(46)	92.58	1711/1737	98.38802533103052	1..1710	SAMEA5390776.contig00002 len=360482 cov=37.8 corr=0 origname=NODE_2_length_360482_cov_37.824090_pilon sw=shovill-spades/1.1.0 date=20230705	12457..14166	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390782	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390782.contig00011 len=80560 cov=33.7 corr=0 origname=NODE_11_length_80560_cov_33.746746_pilon sw=shovill-spades/1.1.0 date=20230705	13670..15394	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390782	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390782.contig00011 len=80560 cov=33.7 corr=0 origname=NODE_11_length_80560_cov_33.746746_pilon sw=shovill-spades/1.1.0 date=20230705	11959..13668	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390785	parasanguinis	tetA(46)	94.84	1725/1725	100.0	1..1725	SAMEA5390785.contig00010 len=80560 cov=35.3 corr=0 origname=NODE_10_length_80560_cov_35.273552_pilon sw=shovill-spades/1.1.0 date=20230705	13670..15394	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390785	parasanguinis	tetB(46)	92.29	1712/1737	98.33045480713875	1..1710	SAMEA5390785.contig00010 len=80560 cov=35.3 corr=0 origname=NODE_10_length_80560_cov_35.273552_pilon sw=shovill-spades/1.1.0 date=20230705	11959..13668	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390798	parasanguinis	tetA(46)	95.36	1725/1725	100.0	1..1725	SAMEA5390798.contig00009 len=89163 cov=37.0 corr=0 origname=NODE_9_length_89163_cov_37.029938_pilon sw=shovill-spades/1.1.0 date=20230704	63893..65617	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390798	parasanguinis	tetB(46)	92.64	1711/1737	98.38802533103052	1..1710	SAMEA5390798.contig00009 len=89163 cov=37.0 corr=0 origname=NODE_9_length_89163_cov_37.029938_pilon sw=shovill-spades/1.1.0 date=20230704	65619..67328	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390802	parasanguinis	tetA(46)	95.36	1725/1725	100.0	1..1725	SAMEA5390802.contig00007 len=89163 cov=37.1 corr=0 origname=NODE_7_length_89163_cov_37.149284_pilon sw=shovill-spades/1.1.0 date=20230704	23547..25271	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390802	parasanguinis	tetB(46)	92.64	1711/1737	98.38802533103052	1..1710	SAMEA5390802.contig00007 len=89163 cov=37.1 corr=0 origname=NODE_7_length_89163_cov_37.149284_pilon sw=shovill-spades/1.1.0 date=20230704	21836..23545	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390817	parasanguinis	tetA(46)	95.36	1725/1725	100.0	1..1725	SAMEA5390817.contig00009 len=87688 cov=35.4 corr=0 origname=NODE_9_length_87688_cov_35.383594_pilon sw=shovill-spades/1.1.0 date=20230704	23547..25271	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390817	parasanguinis	tetB(46)	92.64	1711/1737	98.38802533103052	1..1710	SAMEA5390817.contig00009 len=87688 cov=35.4 corr=0 origname=NODE_9_length_87688_cov_35.383594_pilon sw=shovill-spades/1.1.0 date=20230704	21836..23545	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390819	parasanguinis	tetA(46)	95.36	1725/1725	100.0	1..1725	SAMEA5390819.contig00007 len=89163 cov=36.4 corr=0 origname=NODE_7_length_89163_cov_36.444796_pilon sw=shovill-spades/1.1.0 date=20230704	63893..65617	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390819	parasanguinis	tetB(46)	92.64	1711/1737	98.38802533103052	1..1710	SAMEA5390819.contig00007 len=89163 cov=36.4 corr=0 origname=NODE_7_length_89163_cov_36.444796_pilon sw=shovill-spades/1.1.0 date=20230704	65619..67328	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390822	parasanguinis	tetA(46)	95.36	1725/1725	100.0	1..1725	SAMEA5390822.contig00006 len=87688 cov=35.8 corr=0 origname=NODE_6_length_87688_cov_35.751133_pilon sw=shovill-spades/1.1.0 date=20230704	23547..25271	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390822	parasanguinis	tetB(46)	92.64	1711/1737	98.38802533103052	1..1710	SAMEA5390822.contig00006 len=87688 cov=35.8 corr=0 origname=NODE_6_length_87688_cov_35.751133_pilon sw=shovill-spades/1.1.0 date=20230704	21836..23545	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390835	parasanguinis	tetA(46)	94.90	1725/1725	100.0	1..1725	SAMEA5390835.contig00022 len=24098 cov=34.6 corr=0 origname=NODE_22_length_24098_cov_34.559636_pilon sw=shovill-spades/1.1.0 date=20230705	13981..15705	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390835	parasanguinis	tetB(46)	92.69	1711/1737	98.38802533103052	1..1710	SAMEA5390835.contig00022 len=24098 cov=34.6 corr=0 origname=NODE_22_length_24098_cov_34.559636_pilon sw=shovill-spades/1.1.0 date=20230705	12270..13979	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390846	parasanguinis	tetA(46)	94.20	1725/1725	100.0	1..1725	SAMEA5390846.contig00001 len=536885 cov=33.8 corr=0 origname=NODE_1_length_536885_cov_33.752782_pilon sw=shovill-spades/1.1.0 date=20230705	413670..415394	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390846	parasanguinis	tetB(46)	92.16	1723/1737	98.96373056994818	1..1721	SAMEA5390846.contig00001 len=536885 cov=33.8 corr=0 origname=NODE_1_length_536885_cov_33.752782_pilon sw=shovill-spades/1.1.0 date=20230705	411948..413668	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390849	parasanguinis	tetA(46)	94.20	1725/1725	100.0	1..1725	SAMEA5390849.contig00001 len=536885 cov=34.9 corr=0 origname=NODE_1_length_536885_cov_34.853130_pilon sw=shovill-spades/1.1.0 date=20230705	121492..123216	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA5390849	parasanguinis	tetB(46)	92.16	1723/1737	98.96373056994818	1..1721	SAMEA5390849.contig00001 len=536885 cov=34.9 corr=0 origname=NODE_1_length_536885_cov_34.853130_pilon sw=shovill-spades/1.1.0 date=20230705	123218..124938	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA6160296	parasanguinis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA6160296.contig00006 len=138674 cov=63.9 corr=0 origname=NODE_6_length_138674_cov_63.899485_pilon sw=shovill-spades/1.1.0 date=20230705	112206..113669	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
SAMEA6160296	parasanguinis	lsa(C)	94.46	1479/1479	100.0	1..1479	SAMEA6160296.contig00006 len=138674 cov=63.9 corr=0 origname=NODE_6_length_138674_cov_63.899485_pilon sw=shovill-spades/1.1.0 date=20230705	54173..55651	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
SAMEA6160296	parasanguinis	mef(A)	99.92	1218/1218	100.0	1..1218	SAMEA6160296.contig00006 len=138674 cov=63.9 corr=0 origname=NODE_6_length_138674_cov_63.899485_pilon sw=shovill-spades/1.1.0 date=20230705	113789..115006	Erythromycin, Azithromycin	U83667
SAMEA6160296	parasanguinis	tetA(46)	94.67	1725/1725	100.0	1..1725	SAMEA6160296.contig00015 len=53074 cov=70.4 corr=0 origname=NODE_15_length_53074_cov_70.411732_pilon sw=shovill-spades/1.1.0 date=20230705	15030..16754	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA6160296	parasanguinis	tetB(46)	92.58	1712/1737	98.33045480713875	1..1710	SAMEA6160296.contig00015 len=53074 cov=70.4 corr=0 origname=NODE_15_length_53074_cov_70.411732_pilon sw=shovill-spades/1.1.0 date=20230705	16756..18465	Doxycycline, Tetracycline, Tigecycline	HQ652506
SAMEA9581521	parasanguinis	msr(D)	100.00	1464/1464	100.0	1..1464	SAMEA9581521.contig00010 len=65357 cov=32.7 corr=0 origname=NODE_10_length_65357_cov_32.721472_pilon sw=shovill-spades/1.1.0 date=20230703	2894..4357	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
