Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00003 len=144668 cov=29.7 corr=0 origname=NODE_3_length_144668_cov_29.708695_pilon sw=shovill-spades/1.0.4 date=20260119	83950..85167	Erythromycin, Azithromycin	U83667
039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	tetA(46)	94.84	1725/1725	100.0	1..1725	contig00005 len=99505 cov=37.7 corr=0 origname=NODE_5_length_99505_cov_37.703623_pilon sw=shovill-spades/1.0.4 date=20260119	55839..57563	Doxycycline, Tetracycline, Tigecycline	HQ652506
039Ap-CMPN001x49_260114_LH00793_B23GCKKLT3	tetB(46)	92.23	1711/1737	98.38802533103052	1..1710	contig00005 len=99505 cov=37.7 corr=0 origname=NODE_5_length_99505_cov_37.703623_pilon sw=shovill-spades/1.0.4 date=20260119	54128..55837	Doxycycline, Tetracycline, Tigecycline	HQ652506
039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00002 len=669575 cov=32.2 corr=0 origname=NODE_2_length_669575_cov_32.183776_pilon sw=shovill-spades/1.0.4 date=20260119	145792..147255	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00002 len=669575 cov=32.2 corr=0 origname=NODE_2_length_669575_cov_32.183776_pilon sw=shovill-spades/1.0.4 date=20260119	144455..145672	Erythromycin, Azithromycin	U83667
039Pp-CMPN001x39_260114_LH00793_B23GCKKLT3	tet(M)	99.74	1920/1920	99.89583333333333	1..1920	contig00002 len=669575 cov=32.2 corr=0 origname=NODE_2_length_669575_cov_32.183776_pilon sw=shovill-spades/1.0.4 date=20260119	586942..588859	Doxycycline, Tetracycline, Minocycline	X04388
042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	tetA(46)	94.55	1725/1725	100.0	1..1725	contig00013 len=59637 cov=36.8 corr=0 origname=NODE_13_length_59637_cov_36.831979_pilon sw=shovill-spades/1.0.4 date=20260119	11679..13403	Doxycycline, Tetracycline, Tigecycline	HQ652506
042Ap-CMPN001x50_260114_LH00793_B23GCKKLT3	tetB(46)	92.56	1721/1737	99.07887161773172	1..1721	contig00013 len=59637 cov=36.8 corr=0 origname=NODE_13_length_59637_cov_36.831979_pilon sw=shovill-spades/1.0.4 date=20260119	9957..11677	Doxycycline, Tetracycline, Tigecycline	HQ652506
042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00002 len=364103 cov=34.5 corr=0 origname=NODE_2_length_364103_cov_34.494621_pilon sw=shovill-spades/1.0.4 date=20260119	280385..281122	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
042Cg-CMPN001x02_260114_LH00793_B23GCKKLT3	tet(M)	99.53	1920/1920	100.0	1..1920	contig00002 len=364103 cov=34.5 corr=0 origname=NODE_2_length_364103_cov_34.494621_pilon sw=shovill-spades/1.0.4 date=20260119	277359..279278	Doxycycline, Tetracycline, Minocycline	X92947
047As-CMPN001x51_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00002 len=282760 cov=29.1 corr=0 origname=NODE_2_length_282760_cov_29.082692_pilon sw=shovill-spades/1.0.4 date=20260119	85277..86014	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
047As-CMPN001x51_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00007 len=118504 cov=29.9 corr=0 origname=NODE_7_length_118504_cov_29.933828_pilon sw=shovill-spades/1.0.4 date=20260119	40277..41740	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
047As-CMPN001x51_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00007 len=118504 cov=29.9 corr=0 origname=NODE_7_length_118504_cov_29.933828_pilon sw=shovill-spades/1.0.4 date=20260119	41860..43077	Erythromycin, Azithromycin	U83667
047As-CMPN001x51_260114_LH00793_B23GCKKLT3	tet(M)	99.74	1920/1920	100.0	1..1920	contig00002 len=282760 cov=29.1 corr=0 origname=NODE_2_length_282760_cov_29.082692_pilon sw=shovill-spades/1.0.4 date=20260119	82251..84170	Doxycycline, Tetracycline, Minocycline	X75073
047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00009 len=103768 cov=28.4 corr=0 origname=NODE_9_length_103768_cov_28.379477_pilon sw=shovill-spades/1.0.4 date=20260119	55003..55740	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00016 len=37908 cov=31.5 corr=0 origname=NODE_16_length_37908_cov_31.460137_pilon sw=shovill-spades/1.0.4 date=20260119	2223..3686	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00016 len=37908 cov=31.5 corr=0 origname=NODE_16_length_37908_cov_31.460137_pilon sw=shovill-spades/1.0.4 date=20260119	3806..5023	Erythromycin, Azithromycin	U83667
047Cs-CMPN001x03_260114_LH00793_B23GCKKLT3	tet(M)	99.79	1920/1920	100.0	1..1920	contig00009 len=103768 cov=28.4 corr=0 origname=NODE_9_length_103768_cov_28.379477_pilon sw=shovill-spades/1.0.4 date=20260119	56847..58766	Doxycycline, Tetracycline, Minocycline	X04388
050Cc-CMPN001x04_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00006 len=159796 cov=28.2 corr=0 origname=NODE_6_length_159796_cov_28.223923_pilon sw=shovill-spades/1.0.4 date=20260119	87545..88282	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
050Cc-CMPN001x04_260114_LH00793_B23GCKKLT3	tet(M)	97.66	1920/1920	100.0	1..1920	contig00006 len=159796 cov=28.2 corr=0 origname=NODE_6_length_159796_cov_28.223923_pilon sw=shovill-spades/1.0.4 date=20260119	84519..86438	Doxycycline, Tetracycline, Minocycline	X75073
053Ap-CMPN001x52_260114_LH00793_B23GCKKLT3	tetA(46)	94.43	1725/1725	100.0	1..1725	contig00003 len=217996 cov=31.4 corr=0 origname=NODE_3_length_217996_cov_31.359213_pilon sw=shovill-spades/1.0.4 date=20260119	159765..161489	Doxycycline, Tetracycline, Tigecycline	HQ652506
053Ap-CMPN001x52_260114_LH00793_B23GCKKLT3	tetB(46)	92.04	1722/1737	99.02130109383995	1..1721	contig00003 len=217996 cov=31.4 corr=0 origname=NODE_3_length_217996_cov_31.359213_pilon sw=shovill-spades/1.0.4 date=20260119	161491..163211	Doxycycline, Tetracycline, Tigecycline	HQ652506
062Ca-CMPN001x06_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=264114 cov=35.2 corr=0 origname=NODE_1_length_264114_cov_35.222257_pilon sw=shovill-spades/1.0.4 date=20260119	149413..150150	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=545070 cov=27.7 corr=0 origname=NODE_1_length_545070_cov_27.710247_pilon sw=shovill-spades/1.0.4 date=20260119	302927..304390	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=545070 cov=27.7 corr=0 origname=NODE_1_length_545070_cov_27.710247_pilon sw=shovill-spades/1.0.4 date=20260119	301590..302807	Erythromycin, Azithromycin	U83667
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	tetA(46)	94.03	1725/1725	100.0	1..1725	contig00003 len=183129 cov=29.0 corr=0 origname=NODE_3_length_183129_cov_28.958498_pilon sw=shovill-spades/1.0.4 date=20260119	173136..174860	Doxycycline, Tetracycline, Tigecycline	HQ652506
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	tetB(46)	92.22	1722/1737	99.02130109383995	1..1721	contig00003 len=183129 cov=29.0 corr=0 origname=NODE_3_length_183129_cov_28.958498_pilon sw=shovill-spades/1.0.4 date=20260119	171414..173134	Doxycycline, Tetracycline, Tigecycline	HQ652506
066Pp-CMPN001x40_260114_LH00793_B23GCKKLT3	tet(O)	99.90	1920/1920	100.0	1..1920	contig00015 len=30153 cov=27.4 corr=0 origname=NODE_15_length_30153_cov_27.432712_pilon sw=shovill-spades/1.0.4 date=20260119	6682..8601	Doxycycline, Tetracycline, Minocycline	Y07780
069Cv-CMPN001x07_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00003 len=102495 cov=28.8 corr=0 origname=NODE_3_length_102495_cov_28.813218_pilon sw=shovill-spades/1.0.4 date=20260119	55271..56008	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
069Cv-CMPN001x07_260114_LH00793_B23GCKKLT3	tet(M)	99.64	1920/1920	100.0	1..1920	contig00003 len=102495 cov=28.8 corr=0 origname=NODE_3_length_102495_cov_28.813218_pilon sw=shovill-spades/1.0.4 date=20260119	52243..54162	Doxycycline, Tetracycline, Minocycline	X92947
070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=718349 cov=38.3 corr=0 origname=NODE_1_length_718349_cov_38.303231_pilon sw=shovill-spades/1.0.4 date=20260119	405107..405844	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	tet(W)	100.00	1920/1920	100.0	1..1920	contig00001 len=718349 cov=38.3 corr=0 origname=NODE_1_length_718349_cov_38.303231_pilon sw=shovill-spades/1.0.4 date=20260119	271383..273302	Doxycycline, Tetracycline, Minocycline	AJ427422
070Ca-CMPN001x08_260114_LH00793_B23GCKKLT3	tet(M)	99.69	1920/1920	100.0	1..1920	contig00001 len=718349 cov=38.3 corr=0 origname=NODE_1_length_718349_cov_38.303231_pilon sw=shovill-spades/1.0.4 date=20260119	406951..408870	Doxycycline, Tetracycline, Minocycline	FR671418
074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00004 len=187844 cov=28.7 corr=0 origname=NODE_4_length_187844_cov_28.673018_pilon sw=shovill-spades/1.0.4 date=20260119	58963..59700	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
074Ca-CMPN001x09_260114_LH00793_B23GCKKLT3	tet(M)	99.74	1920/1920	100.0	1..1920	contig00004 len=187844 cov=28.7 corr=0 origname=NODE_4_length_187844_cov_28.673018_pilon sw=shovill-spades/1.0.4 date=20260119	60807..62726	Doxycycline, Tetracycline, Minocycline	FR671418
079As-CMPN001x53_260114_LH00793_B23GCKKLT3	erm(B)	98.72	548/762	71.78477690288713	1..547	contig00055 len=1088 cov=2.8 corr=0 origname=NODE_55_length_1088_cov_2.782953_pilon sw=shovill-spades/1.0.4 date=20260119	541..1088	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X66468
079As-CMPN001x53_260114_LH00793_B23GCKKLT3	tet(M)	99.53	1920/1920	100.0	1..1920	contig00015 len=56794 cov=7.2 corr=0 origname=NODE_15_length_56794_cov_7.245455_pilon sw=shovill-spades/1.0.4 date=20260119	565..2484	Doxycycline, Tetracycline, Minocycline	X92947
079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=565796 cov=28.3 corr=0 origname=NODE_1_length_565796_cov_28.321006_pilon sw=shovill-spades/1.0.4 date=20260119	99114..99851	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=565796 cov=28.3 corr=0 origname=NODE_1_length_565796_cov_28.321006_pilon sw=shovill-spades/1.0.4 date=20260119	99114..99851	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
079Cs-CMPN001x10_260114_LH00793_B23GCKKLT3	tet(M)	99.53	1920/1920	100.0	1..1920	contig00001 len=565796 cov=28.3 corr=0 origname=NODE_1_length_565796_cov_28.321006_pilon sw=shovill-spades/1.0.4 date=20260119	96088..98007	Doxycycline, Tetracycline, Minocycline	X92947
079Ps-CMPN001x41_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00002 len=279946 cov=39.0 corr=0 origname=NODE_2_length_279946_cov_39.021640_pilon sw=shovill-spades/1.0.4 date=20260119	239129..240592	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
079Ps-CMPN001x41_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00002 len=279946 cov=39.0 corr=0 origname=NODE_2_length_279946_cov_39.021640_pilon sw=shovill-spades/1.0.4 date=20260119	237792..239009	Erythromycin, Azithromycin	U83667
083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00002 len=559490 cov=30.7 corr=0 origname=NODE_2_length_559490_cov_30.663839_pilon sw=shovill-spades/1.0.4 date=20260119	110934..111671	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
083Cg-CMPN001x11_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00002 len=559490 cov=30.7 corr=0 origname=NODE_2_length_559490_cov_30.663839_pilon sw=shovill-spades/1.0.4 date=20260119	112778..114697	Doxycycline, Tetracycline, Minocycline	X75073
089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00013 len=52585 cov=27.0 corr=0 origname=NODE_13_length_52585_cov_27.036755_pilon sw=shovill-spades/1.0.4 date=20260119	39114..39851	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
089Cs-CMPN001x12_260114_LH00793_B23GCKKLT3	tet(M)	100.00	1920/1920	100.0	1..1920	contig00013 len=52585 cov=27.0 corr=0 origname=NODE_13_length_52585_cov_27.036755_pilon sw=shovill-spades/1.0.4 date=20260119	40958..42877	Doxycycline, Tetracycline, Minocycline	AM990992
092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=1060950 cov=40.0 corr=0 origname=NODE_1_length_1060950_cov_39.980440_pilon sw=shovill-spades/1.0.4 date=20260119	717697..719160	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=1060950 cov=40.0 corr=0 origname=NODE_1_length_1060950_cov_39.980440_pilon sw=shovill-spades/1.0.4 date=20260119	719280..720497	Erythromycin, Azithromycin	U83667
092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=1060950 cov=40.0 corr=0 origname=NODE_1_length_1060950_cov_39.980440_pilon sw=shovill-spades/1.0.4 date=20260119	343611..344348	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
092Cs-CMPN001x14_260114_LH00793_B23GCKKLT3	tet(M)	98.18	1920/1920	100.0	1..1920	contig00001 len=1060950 cov=40.0 corr=0 origname=NODE_1_length_1060950_cov_39.980440_pilon sw=shovill-spades/1.0.4 date=20260119	340585..342504	Doxycycline, Tetracycline, Minocycline	X90939
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00004 len=202666 cov=31.7 corr=0 origname=NODE_4_length_202666_cov_31.723054_pilon sw=shovill-spades/1.0.4 date=20260119	74843..76306	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00004 len=202666 cov=31.7 corr=0 origname=NODE_4_length_202666_cov_31.723054_pilon sw=shovill-spades/1.0.4 date=20260119	76426..77643	Erythromycin, Azithromycin	U83667
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	lsa(C)	94.52	1479/1479	100.0	1..1479	contig00005 len=199537 cov=26.9 corr=0 origname=NODE_5_length_199537_cov_26.891388_pilon sw=shovill-spades/1.0.4 date=20260119	150526..152004	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00005 len=199537 cov=26.9 corr=0 origname=NODE_5_length_199537_cov_26.891388_pilon sw=shovill-spades/1.0.4 date=20260119	133511..134248	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
092Cv-CMPN001x15_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00005 len=199537 cov=26.9 corr=0 origname=NODE_5_length_199537_cov_26.891388_pilon sw=shovill-spades/1.0.4 date=20260119	135355..137274	Doxycycline, Tetracycline, Minocycline	X75073
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00002 len=249892 cov=33.4 corr=0 origname=NODE_2_length_249892_cov_33.406848_pilon sw=shovill-spades/1.0.4 date=20260119	45249..46712	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00002 len=249892 cov=33.4 corr=0 origname=NODE_2_length_249892_cov_33.406848_pilon sw=shovill-spades/1.0.4 date=20260119	43912..45129	Erythromycin, Azithromycin	U83667
094Cm-CMPN001x16_260114_LH00793_B23GCKKLT3	lsa(C)	93.55	1256/1479	84.92224475997295	224..1479	contig00004 len=210592 cov=39.7 corr=0 origname=NODE_4_length_210592_cov_39.698139_pilon sw=shovill-spades/1.0.4 date=20260119	209337..210592	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
